time_s,left_x_m,left_y_m,left_z_m,right_x_m,right_y_m,right_z_m
2.292100000000503002e+01,-3.497914569062754442e-01,-7.498542899995485067e-01,4.000260221483101231e-01,-1.124333887420794764e-03,-5.000371403665022640e-01,2.803023272927872567e-01
2.292200000000503124e+01,-3.497916706845255463e-01,-7.498543914803069699e-01,4.000260240049857696e-01,-1.124323897181193910e-03,-5.000371382660939723e-01,2.803022790026150624e-01
2.292300000000503246e+01,-3.497918841941314860e-01,-7.498544928867396653e-01,4.000260258319145446e-01,-1.124313823269128265e-03,-5.000371361282334171e-01,2.803022310069752665e-01
2.292400000000503368e+01,-3.497920974354605250e-01,-7.498545942188995506e-01,4.000260276291618400e-01,-1.124303666052282880e-03,-5.000371339531008985e-01,2.803021833048743860e-01
2.292500000000503491e+01,-3.497923104088808688e-01,-7.498546954768411377e-01,4.000260293967931036e-01,-1.124293425875971808e-03,-5.000371317408691674e-01,2.803021358953789455e-01
2.292600000000503613e+01,-3.497925231147596681e-01,-7.498547966606173842e-01,4.000260311348737829e-01,-1.124263775312571434e-03,-5.000370807947609464e-01,2.803020752498574519e-01
2.292700000000503735e+01,-3.497927355534629079e-01,-7.498548977702814700e-01,4.000260328434688817e-01,-1.124188694243882791e-03,-5.000369491915945819e-01,2.803020144184632523e-01
2.292800000000503857e+01,-3.497929477253576835e-01,-7.498549988058877958e-01,4.000260345226435699e-01,-1.124134655710776198e-03,-5.000368612850358829e-01,2.803019376853606581e-01
2.292900000000503979e+01,-3.497931596308084257e-01,-7.498550997674887642e-01,4.000260361724628511e-01,-1.124125940806977586e-03,-5.000368703746728150e-01,2.803018511996149265e-01
2.293000000000504102e+01,-3.497933712701807862e-01,-7.498552006551382210e-01,4.000260377929914513e-01,-1.124139945217886294e-03,-5.000369266050194161e-01,2.803017934462162519e-01
2.293100000000504224e+01,-3.497935826438390849e-01,-7.498553014688894569e-01,4.000260393842940965e-01,-1.124131446573077564e-03,-5.000369555196049198e-01,2.803017632732452413e-01
2.293200000000504346e+01,-3.497937937521474749e-01,-7.498554022087960957e-01,4.000260409464356237e-01,-1.124110808367932701e-03,-5.000369660419896611e-01,2.803017134238695030e-01
2.293300000000504468e+01,-3.497940045954691657e-01,-7.498555028749109841e-01,4.000260424794804814e-01,-1.124090045685303962e-03,-5.000369763760031949e-01,2.803016637284933554e-01
